"filename","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp","time","lat","lon","DCM_depth","sla","local_hour","temp","sal","theta","dic","alk","ph","oxy_um","PAR","PAR_perc","no23_um","po4_um","DON_um","DOP_um","si_um","PC_um","PN_um","chl_ug","phaeo_ug","beam_atten","het_abund","pro_abund","syn_abund","euk_abund"
"180205_Smp_L2C2DCM_B.mzML","Smp","MC","L2",2,"DCM",123,NA,"B","L2C2DCM_B","180205_Smp_L2C2DCM",2018-02-05,2018-02-07 09:53:29,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.8080689655172,35.2286206896552,21.7840689655172,2003.7,2319,8.059,213.512825651303,0.142057203448276,0.284195406896552,0.0858615376850866,0.0699109275670953,NA,0.139784226272171,1.31022158239029,1.76659121789627,0.323024688567509,0.2008,0.5896,0.0362511961722488,3.753,0.581,0,0.022
"180205_Smp_L2C2DCMplus20m_B.mzML","Smp","MC","L2",2,"DCMplus20m",143,NA,"B","L2C2DCM+20m_B","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-07 12:25:01,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.0075,35.256,20.9805,2003.7,2319,8.059,215.364516129032,0.05407,0.1074167,0.0866438751582992,0.0758687839088324,NA,0.12763485975931,1.54119898428614,1.27225217373061,0.232806595951109,0.147,0.3494,0.0279515151515152,3.484,0.285,0.001,0.012
"180205_Smp_L1C33DCMplus10m_B.mzML","Smp","MC","L1",33,"DCMplus10m",114.8,12,"B","L1C33DCM+10m_B","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-07 13:15:29,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,17.703,34.85,17.684,2020.8,2332,8.054,218.726470588235,0.3498637,0.694,1.20482491070229,0.18442723844518,NA,0.112193264004445,3.58561284919652,2.43507821554419,0.387362856840294,0.284978947368421,0.617073684210526,0.049352,4.61784210526315,0.60621052631579,0.00242105263157894,0.0405789473684211
"180205_Poo_TruePoo_Half3.mzML","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-07 17:28:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180205_Smp_L1C32DCMless10m_C.mzML","Smp","MC","L1",32,"DCMless10m",98.4,14,"C","L1C32DCM-10m_C","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-08 00:12:08,2017-07-07 17:04:08,24.6976666666667,-158.669666666667,108,-0.1322,7,18.63,34.951,18.613,2020.8,2332,8.054,229.867680608365,0.7845687,1.556667,0,0.0742518847358677,NA,0.128537480602407,3.22270407960471,2.1745726630626,0.370201166330718,0.190992,0.302352,0.0384902316213495,4.70068,1.31184,0.013,0.02028
"180205_Smp_L2C1DCMless20m_C.mzML","Smp","MC","L2",1,"DCMless20m",103,NA,"C","L2C1DCM-20m_C","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-08 01:02:39,2017-07-08 18:00:09,26.5011666666667,-158.440333333333,123,0.2514,8,22.533,35.201,22.512,2003.7,2319,8.059,215.87755511022,0.466321,0.9363333,0,0.0774419827724938,NA,0.143927607473825,1.12293756915081,2.14592966151194,0.321379673746951,0.2324,0.4592,0.0356651515151515,4.435,1.917,0.008,0.012
"180205_Smp_L1C33DCMplus20m_C.mzML","Smp","MC","L1",33,"DCMplus20m",124.8,6,"C","L1C33DCM+20m_C","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-08 02:43:41,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,17.0815,34.7735,17.061,2020.8,2332,8.054,211.373529411765,0.196202,0.389333316666666,2.59896599565668,0.272544327496414,NA,0.10496670058862,4.35334101570922,1.85804470946908,0.314696621606891,0.2028,0.5262,0.040705,3.702,0.432,0.001,0.025
"180205_Smp_L2C2DCM_C.mzML","Smp","MC","L2",2,"DCM",123,NA,"C","L2C2DCM_C","180205_Smp_L2C2DCM",2018-02-05,2018-02-08 03:34:09,2017-07-08 19:26:50,26.4993333333333,-158.4395,123,0.2513,9,21.8080689655172,35.2286206896552,21.7840689655172,2003.7,2319,8.059,213.512825651303,0.142057203448276,0.284195406896552,0.0858615376850866,0.0699109275670953,NA,0.139784226272171,1.31022158239029,1.76659121789627,0.323024688567509,0.2008,0.5896,0.0362511961722488,3.753,0.581,0,0.022
"180205_Smp_L1C33DCMplus10m_C.mzML","Smp","MC","L1",33,"DCMplus10m",114.1,13,"C","L1C33DCM+10m_C","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-08 05:15:11,2017-07-07 18:37:12,24.6968333333333,-158.6675,104,-0.1322,8,17.713,34.851,17.694,2020.8,2332,8.054,219.241176470588,0.3685782,0.7313333,1.05352252043012,0.174318367018544,NA,0.113964100531686,3.57780127799227,2.27978633690828,0.370130520735123,0.283247368421053,0.626984210526316,0.0496757575757576,4.20410526315789,0.630526315789474,0.00205263157894737,0.0409473684210526
"180205_Smp_L1C32DCMless20m_C.mzML","Smp","MC","L1",32,"DCMless20m",88.2,19,"C","L1C32DCM-20m_C","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-08 06:05:39,2017-07-07 17:04:08,24.6976666666667,-158.669666666667,108,-0.1322,7,19.045,34.984,19.029,2020.8,2332,8.054,233.901140684411,1.20929,2.399,0,0.0494308081515435,NA,0.136790438085298,3.85607669089498,2.56895463037468,0.418043709218017,0.165872,0.184036,0.040361329305136,4.45476,1.66856,0.01336,0.01428
